Line;KM;Stop name;Befestigung text;Befestigung Auswahl;Type of display;Mounted on;Lighting;Second hand;EIGENTuMER;ANTEIL EIGENTUM;EIGENTuMER GRUPPE;IH-EA;IH-TC;FID;Geopos
100;0.112;Lausanne;Fixe sous la marquise;Haengend;Beidseitig;Dach_BE Marquise quai 4;ja;ja;Migration ausstehend;100;unbekannt;West > Lausanne;West > Lausanne;38856952;46.51625574965993,6.630419422799036
100;5.046;Lutry;Fixe contre le pilier;Seitlich;Beidseitig;Dach_BE Marquise quai 1;ja;ja;Migration ausstehend;100;unbekannt;West > Lausanne;West > Lausanne;38855829;46.50391923452792,6.690308085233849
100;8.529;Cully;Lateralement;Seitlich;Beidseitig;Dach_BE Marquise quai 2;ja;ja;Migration ausstehend;100;unbekannt;West > Lausanne;West > Lausanne;38855837;46.4884886434301,6.727293067164549
100;13.561;Rivaz;Suspendu;Haengend;Beidseitig;Gebaeude;ja;ja;SBB Infrastruktur;100;SBB;West > Lausanne;West > Lausanne;132464327;46.47409321800966,6.784750873697114
100;18.373;Vevey;autre;ANDERE;Beidseitig;Dach_BE Marquise BV quai 1;;ja;SBB Infrastruktur;100;SBB;West > Lausanne;West > Lausanne;234131404;46.46317080193294,6.843216935715634
100;21.544;Burier;Suspendu;Haengend;Beidseitig;Dach_BE Marquise RV 05;ja;ja;Migration ausstehend;100;unbekannt;West > St-Maurice;West > St-Maurice;38858969;46.44799542581628,6.8774089393178865
100;24.536;Montreux;Lateralement;Seitlich;Einseitig;;ja;nein;Migration ausstehend;100;unbekannt;West > St-Maurice;West > St-Maurice;38860887;46.435838251433935,6.9102676997785295
100;24.536;Montreux;Lateralement;Seitlich;Einseitig;Dach_BE Marquise quai 1 (BV);ja;nein;Migration ausstehend;100;unbekannt;West > St-Maurice;West > St-Maurice;38851806;46.435887365644504,6.910440534173255
100;43.604;St-Triphon;Suspendu;Haengend;Beidseitig;Dach_BE Quai 1;ja;ja;Migration ausstehend;100;unbekannt;West > St-Maurice;West > St-Maurice;38851057;46.278752169782635,6.97188181016556
100;51.973;St-Maurice;Lateralement;Seitlich;Einseitig;;nein;nein;Migration ausstehend;100;unbekannt;West > St-Maurice;West > St-Maurice;38850236;46.212715569342095,7.002438316373595
100;70.853;Charrat-Fully;Sur pied;Stehend;Beidseitig;;ja;ja;SBB Infrastruktur;100;SBB;West > St-Maurice;West > St-Maurice;131825530;46.126927245080424,7.126261241188479
100;88.027;Chateauneuf-Conthey;Suspendu;Haengend;Beidseitig;Dach_BE Marquise quai 1;ja;ja;Migration ausstehend;100;unbekannt;West > St-Maurice;West > St-Maurice;38856681;46.21597412549121,7.30459028778173
