Line;KM;NAME;Station abbreviation;Stop name;At the top;At the bottom;Built;Type;Type of construction;Use;Additional use;Width;Length;DIFF H=;Steigung;Hand rail;Surface;Bemerkung Oberfläche;Platform;Didok number;FID;Geopos;OPUIC;lod
100;21.546;R acces quai 2;BURI;Burier;Perron;Trottoir;2008;Perronrampe;Beton;Fussgaenger;keine;1.514;5.99;0.35;6%;einseitig;Bituminoeses Mischgut;;1;1202;35183792;46.44780269452078,6.87735364901672;8501202;http://lod.opentransportdata.swiss/didok/,8501202
100;21.538;E acces quai 1;BURI;Burier;Perron;Personenunterfuhrung;2009;Perrontreppe;Beton;Fussgaenger;keine;3.8;6.73;3.335;16/30;einseitig;Beton-Belag;;1;1202;35175139;46.44789451635972,6.877284929962083;8501202;http://lod.opentransportdata.swiss/didok/,8501202
100;0.065;Escalier;LS;Lausanne;Perron;Personenunterfuhrung;1906;Perrontreppe;Beton;Fussgaenger;;2.0;10.0;4.21;15/31;beidseitig;Naturstein-Pflaesterung;;7/8;1120;35152246;46.51631349572742,6.629807326478883;8501120;http://lod.opentransportdata.swiss/didok/,8501120
100;5.053;Acces;LTY;Lutry;Naturliche Flache;Personenunterfuhrung;1959;Perrontreppe;Beton;Fussgaenger;;2.46;1.3;0.627;48;einseitig;Naturstein-Pflaesterung;;;1122;139507151;46.503984211880294,6.690477008860404;8501122;http://lod.opentransportdata.swiss/didok/,8501122
100;4.912;R acces quai 1;LTY;Lutry;Perron;Platz;2021;Perronrampe;Beton;Fussgaenger;keine;2.5;86.0;5.64;6;beidseitig;Bituminoeses Mischgut;;1;1122;279079773;46.504449745957835,6.6887281824337075;8501122;http://lod.opentransportdata.swiss/didok/,8501122
100;66.48;E acces quai 2/3;MA;Martigny;Perron;Personenunterfuhrung;1956;Perrontreppe;Beton;Fussgaenger;keine;2.2;7.34;0.0;16/32;beidseitig;Naturstein-Pflaesterung;;2/3;1500;35259890;46.10607451187421,7.078938552414573;8501500;http://lod.opentransportdata.swiss/didok/,8501500
100;66.495;E acces quai 1;MA;Martigny;Perron;Personenunterfuhrung;1998;Perrontreppe;Beton;Fussgaenger;keine;1.92;4.25;0.0;16/30;beidseitig;Naturstein-Pflaesterung;;1;1500;35241439;46.105914416157724,7.079126772830725;8501500;http://lod.opentransportdata.swiss/didok/,8501500
100;66.36;Acces;MA;Martigny;Strasse;Personenunterfuhrung;;Perrontreppe;Beton;Fussgaenger;keine;0.73;9.98;2.22;15/70;einseitig;Unbekannt;Beton;;1500;35071622;46.105794928428196,7.077311845499437;8501500;http://lod.opentransportdata.swiss/didok/,8501500
100;24.507;E acces quai 1;MX;Montreux;Personenunterfuhrung;Platz;2001;Perrontreppe;Beton;Fussgaenger;keine;1.68;9.19;4.32;47.01;einseitig;Naturstein-Pflaesterung;;1;1300;35079254;46.43609983506487,6.910189326649436;8501300;http://lod.opentransportdata.swiss/didok/,8501300
100;24.486;Escalator;MX;Montreux;Perron;Treppe;;Perronrolltreppe;Beton;Fussgaenger;keine;1.0;10.5;4.2;;einseitig;Unbekannt;;1;1300;35144915;46.436318803426396,6.910231922128287;8501300;http://lod.opentransportdata.swiss/didok/,8501300
100;24.577;Rampe;MX;Montreux;Perron;Treppe;;Perronrampe;Beton;Fussgaenger;keine;4.7;9.0;0.4;6%;kein;Bituminoeses Mischgut;;;1300;254135414;46.43562471505068,6.91091511633692;8501300;http://lod.opentransportdata.swiss/didok/,8501300
100;2.512;Rampe;PU;Pully;Perron;Personenunterfuhrung;1987;Perronrampe;;Fussgaenger;;2.2;38.2;3.75;10%;beidseitig;Beton-Belag;;;1121;35158000;46.510982357859945,6.65957152038496;8501121;http://lod.opentransportdata.swiss/didok/,8501121
100;79.576;R acces quai 2;RID;Riddes;Perron;Platz;2021;Perronrampe;Beton;Fussgaenger;keine;2.25;;;10;kein;Bituminoeses Mischgut;;2;1503;281784797;46.172708170517296,7.2176798390321215;8501503;http://lod.opentransportdata.swiss/didok/,8501503
100;33.857;Escalier;ROC;Roche VD;Perron;Personenunterfuhrung;1972;Perrontreppe;Beton;Fussgaenger;;1.99;7.0;3.65;15/33;beidseitig;Naturstein-Pflaesterung;;1;1304;35199405;46.3585734252638,6.927146040849256;8501304;http://lod.opentransportdata.swiss/didok/,8501304
100;75.311;E acces quai 2/3;SAX;Saxon;Perron;Personenunterfuhrung;2005;Perrontreppe;Beton;Fussgaenger;keine;2.4;8.38;3.17;16/32;beidseitig;Naturstein-Pflaesterung;;2/3;1502;35255439;46.14973481293618,7.1737004743252335;8501502;http://lod.opentransportdata.swiss/didok/,8501502
100;107.907;Escalier;SIE;Sierre/Siders;Platz;Fuss/Radweg;;Perrontreppe;Stahl;Fussgaenger;;1.89;3.8;2.1;17/30;beidseitig;Stahl;;;1509;35129341;46.291259511250736,7.5301157593259145;8501509;http://lod.opentransportdata.swiss/didok/,8501509
100;105.606;Acces;SIE;Sierre/Siders;;Personenunterfuhrung;1971;Perrontreppe;Beton;Fussgaenger;;2.5;6.67;3.35;15/32;beidseitig;Naturstein-Pflaesterung;;;1509;35267947;46.27904912363722,7.507513837915556;8501509;http://lod.opentransportdata.swiss/didok/,8501509
100;108.101;Acces;SIE;Sierre/Siders;;Personenunterfuhrung;;Perrontreppe;Beton;Fussgaenger;;4.24;7.11;3.78;17/30;in der Mittelzone;Naturstein-Pflaesterung;#Mauerwerk;1;1509;35117513;46.29204571909983,7.532424207854005;8501509;http://lod.opentransportdata.swiss/didok/,8501509
100;108.101;Acces;SIE;Sierre/Siders;Perron;Personenunterfuhrung;;Perronrampe;Beton;Fussgaenger;;2.18;42.46;3.91;9%;einseitig;Bituminoeses Mischgut;;1;1509;35276544;46.29196526883094,7.532481908075366;8501509;http://lod.opentransportdata.swiss/didok/,8501509
100;92.289;E acces quai 2/3.2;SIO;Sion;Perron;Personenunterfuhrung;1979;Perrontreppe;Beton;Fussgaenger;keine;2.07;16.05;5.7;16/32;beidseitig;Naturstein-Pflaesterung;;2/3;1506;35063888;46.226951636644664,7.357512343895411;8501506;http://lod.opentransportdata.swiss/didok/,8501506
100;92.416;E acces qui 2/3;SIO;Sion;Perron;Personenunterfuhrung;1956;Perrontreppe;Beton;Fussgaenger;keine;2.5;7.71;4.05;16/32;beidseitig;Naturstein-Pflaesterung;;2/3;1506;35273595;46.22722440879234,7.359110873484764;8501506;http://lod.opentransportdata.swiss/didok/,8501506
100;92.375;Acces;SIO;Sion;Strasse;Personenunterfuhrung;2004;Perrontreppe;Beton;Fussgaenger;keine;3.01;35.01;1.86;;einseitig;Beton-Belag;;;1506;35133731;46.22691253692284,7.358677934754346;8501506;http://lod.opentransportdata.swiss/didok/,8501506
100;98.162;E acces quai 2;SL;St-Leonard;Perron;Trottoir;2003;Perrontreppe;Beton;Fussgaenger;keine;2.73;3.89;2.1;16/30;einseitig;Beton-Belag;;2;1507;35258281;46.25137472734797,7.419775398601521;8501507;http://lod.opentransportdata.swiss/didok/,8501507
100;98.171;E acces quai 2;SL;St-Leonard;Perron;Strasse;2002;Perrontreppe;Beton;Fussgaenger;;2.46;3.05;1.5;17/32;einseitig;Naturstein-Pflaesterung;;2;1507;35192987;46.25138454397109,7.4198922417922955;8501507;http://lod.opentransportdata.swiss/didok/,8501507
100;51.558;Bat.;SM;St-Maurice;Gebaude;Trottoir;;Perrontreppe;Andere;Fussgaenger;keine;2.55;0.47;0.25;16/34;kein;Naturstein-Pflaesterung;#Mauerwerk;;1403;35107696;46.21643235154501,7.002226218524786;8501403;http://lod.opentransportdata.swiss/didok/,8501403
100;51.488;Bat.;SM;St-Maurice;Gebaude;Perron;;Perrontreppe;Beton;Fussgaenger;keine;1.74;0.67;0.2;;kein;Unbekannt;;;1403;35078306;46.21705994883732,7.002029055394711;8501403;http://lod.opentransportdata.swiss/didok/,8501403
100;51.593;Rampe;SM;St-Maurice;Gebaude;Platz;2003;Perronrampe;Beton;Fussgaenger;keine;1.11;2.58;0.22;9%;kein;Bituminoeses Mischgut;;;1403;35207291;46.21612393902241,7.002104719018446;8501403;http://lod.opentransportdata.swiss/didok/,8501403
100;43.701;Escalier;ST;St-Triphon;Strasse;Perron;1984;Perrontreppe;Beton;Fussgaenger;keine;2.31;6.02;3.55;17/29;beidseitig;Beton-Belag;;;1401;35183060;46.277980765091186,6.972515323388259;8501401;http://lod.opentransportdata.swiss/didok/,8501401
100;43.682;Escalier;ST;St-Triphon;Strasse;Perron;1984;Perrontreppe;Beton;Fussgaenger;keine;2.01;5.63;3.15;17/30;beidseitig;Beton-Belag;;;1401;35208520;46.278121723950505,6.972337773254636;8501401;http://lod.opentransportdata.swiss/didok/,8501401
